reach_id	Distance	Elevation
70	1488.241283	273.2668457
70	1521.313311	273.3356934
70	1554.38534	273.3357239
70	1587.457368	273.5669861
70	1620.529397	273.5863953
90	0	204.029892
90	179.222522	200.6829224
90	209.0929423	200.6829224
90	238.9633626	201.3799896
90	268.8337829	206.5260315
90	298.7042033	210.5260315
90	328.5746236	209.4117432
90	1463.650596	216.3817444
91	0	220.1957397
91	622.5319168	207.2793732
91	679.1257274	206.351593
91	735.719538	205.8898163
91	792.3133486	206.3997498
91	848.9071592	207.9859161
91	905.5009698	210.6804504
91	2773.09672	221.2012024
92	0	221.433075
92	889.3057611	214.4761963
92	952.8276012	213.7589722
92	1016.349441	213.0715637
92	1079.871281	213.3266449
92	1143.393121	213.694519
92	1206.914961	214.2395935
92	3112.570164	225.0055847
93	0	221.8240509
93	628.3020813	214.8385315
93	650.7414414	214.1321564
93	718.0595215	213.8554993
93	740.4988815	213.7889557
93	762.9382416	213.9889526
93	785.3776016	213.7022247
93	1099.528642	221.4386139
94	0	215.8504181
94	5.916363468	215.4504242
94	11.83272694	215.619278
94	17.74909041	215.619278
94	35.49818081	215.4680939
94	106.4945424	215.3405457
94	153.8254502	215.9084015
94	289.9018099	220.2793732
98	0	224.1429596
98	0.661646787	224.1429596
98	1.323293573	224.1429596
98	11.24799537	223.8947906
98	18.52611003	223.4947815
98	21.83434396	224.0947876
98	25.80422468	223.8502502
98	32.42069255	224.2502594
99	0	233.3328705
99	0.432904642	233.3328705
99	0.865809285	233.3328705
99	1.298713927	233.3328705
99	1.73161857	233.3328705
99	7.359378921	233.3723297
99	8.658092848	233.5723419
99	21.21232748	233.5723419
100	0	238.4428253
100	526.5591856	228.7904816
100	557.5332553	224.7471924
100	588.5073251	225.6792297
100	619.4813948	226.1964569
100	650.4554645	226.3964539
100	681.4295343	228.3153076
100	1517.729417	239.5511627
101	0	241.9326477
101	751.8248386	232.2062836
101	814.4769085	228.0525055
101	877.1289784	228.3216095
101	939.7810483	234.6177368
101	1002.433118	231.57724
101	1065.085188	237.0827484
101	3069.951424	247.9216003
102	0	229.1317902
102	50.91756168	228.8236084
102	101.8351234	229.3369141
102	152.752685	229.4606934
